clock (5ms),ADC,Val_Res (MOhm)
0,5,517.01
1,5,517.01
2,5,517.01
3,4,646.29
4,5,517.01
5,6,430.82333
6,5,517.01
7,6,430.82333
8,5,517.01
9,4,646.29
10,5,517.01
11,5,517.01
12,5,517.01
13,5,517.01
14,5,517.01
15,6,430.82333
16,5,517.01
17,5,517.01
18,5,517.01
19,5,517.01
20,5,517.01
21,5,517.01
22,4,646.29
23,5,517.01
24,5,517.01
25,5,517.01
26,5,517.01
27,5,517.01
28,5,517.01
29,5,517.01
30,5,517.01
31,5,517.01
32,5,517.01
33,6,430.82333
34,5,517.01
35,5,517.01
36,5,517.01
37,4,646.29
38,5,517.01
39,6,430.82333
40,5,517.01
41,5,517.01
42,5,517.01
43,5,517.01
44,5,517.01
45,5,517.01
46,5,517.01
47,5,517.01
48,5,517.01
49,5,517.01
50,5,517.01
51,5,517.01
52,5,517.01
53,5,517.01
54,6,430.82333
55,5,517.01
56,5,517.01
57,5,517.01
58,5,517.01
59,5,517.01
60,5,517.01
61,5,517.01
62,4,646.29
63,5,517.01
64,4,646.29
65,5,517.01
66,4,646.29
67,5,517.01
68,5,517.01
69,6,430.82333
70,6,430.82333
71,5,517.01
72,5,517.01
73,5,517.01
74,5,517.01
75,5,517.01
76,5,517.01
77,5,517.01
78,5,517.01
79,5,517.01
80,6,430.82333
81,5,517.01
82,5,517.01
