clock (5ms),ADC,Val_Res (MOhm)
1,6,430.82333
2,6,430.82333
3,6,430.82333
4,5,517.01
5,6,430.82333
6,6,430.82333
7,6,430.82333
8,6,430.82333
9,7,369.26143
10,6,430.82333
11,6,430.82333
12,6,430.82333
13,5,517.01
14,4,646.29
15,5,517.01
16,4,646.29
17,6,430.82333
18,5,517.01
19,5,517.01
20,5,517.01
21,5,517.01
22,5,517.01
23,5,517.01
24,5,517.01
25,5,517.01
26,5,517.01
27,5,517.01
28,4,646.29
29,5,517.01
30,5,517.01
31,6,430.82333
32,5,517.01
33,5,517.01
34,5,517.01
35,5,517.01
36,5,517.01
37,5,517.01
38,5,517.01
39,5,517.01
40,4,646.29
41,4,646.29
42,5,517.01
43,5,517.01
44,6,430.82333
45,5,517.01
46,5,517.01
47,5,517.01
48,6,430.82333
49,5,517.01
50,5,517.01
51,5,517.01
52,5,517.01
53,5,517.01
54,4,646.29
55,4,646.29
56,6,430.82333
57,6,430.82333
58,5,517.01
59,5,517.01
60,5,517.01
61,5,517.01
62,6,430.82333
63,6,430.82333
64,5,517.01
65,5,517.01
66,6,430.82333
67,5,517.01
68,5,517.01
69,5,517.01
70,6,430.82333
71,6,430.82333
72,5,517.01
73,5,517.01
74,5,517.01
75,6,430.82333
76,5,517.01
77,5,517.01
78,5,517.01
79,5,517.01
80,5,517.01
81,5,517.01
82,5,517.01
83,5,517.01
84,5,517.01
85,6,430.82333
86,5,517.01
87,4,646.29
88,5,517.01
89,5,517.01
90,6,430.82333
91,5,517.01
92,5,517.01
93,5,517.01
94,5,517.01
95,4,646.29
96,5,517.01
97,5,517.01
98,5,517.01
99,5,517.01
100,5,517.01
