clock (5ms),ADC,Val_Res (MOhm)
0,5,517.01
1,5,517.01
2,5,517.01
3,5,517.01
4,5,517.01
5,5,517.01
6,5,517.01
7,5,517.01
8,5,517.01
9,5,517.01
10,5,517.01
11,5,517.01
12,5,517.01
13,5,517.01
14,5,517.01
15,5,517.01
16,5,517.01
17,5,517.01
18,5,517.01
19,5,517.01
20,5,517.01
21,5,517.01
22,5,517.01
23,6,430.82333
24,6,430.82333
25,6,430.82333
26,5,517.01
27,6,430.82333
28,5,517.01
29,5,517.01
30,5,517.01
31,5,517.01
32,5,517.01
33,5,517.01
34,4,646.29
35,5,517.01
36,5,517.01
37,5,517.01
38,5,517.01
39,5,517.01
40,5,517.01
41,5,517.01
42,5,517.01
43,5,517.01
44,5,517.01
45,5,517.01
46,4,646.29
47,4,646.29
48,4,646.29
49,5,517.01
50,5,517.01
51,5,517.01
52,5,517.01
53,4,646.29
54,5,517.01
55,5,517.01
56,5,517.01
57,5,517.01
58,5,517.01
59,5,517.01
60,5,517.01
61,5,517.01
62,6,430.82333
63,5,517.01
64,5,517.01
65,5,517.01
66,6,430.82333
67,6,430.82333
68,5,517.01
69,5,517.01
70,5,517.01
71,4,646.29
72,6,430.82333
73,5,517.01
74,5,517.01
75,5,517.01
76,5,517.01
77,5,517.01
78,5,517.01
79,5,517.01
80,5,517.01
81,6,430.82333
82,5,517.01
83,5,517.01
84,5,517.01
85,6,430.82333
86,5,517.01
87,5,517.01
88,6,430.82333
89,6,430.82333
90,4,646.29
91,5,517.01
92,5,517.01
93,5,517.01
94,5,517.01
95,4,646.29
96,5,517.01
97,5,517.01
98,6,430.82333
99,5,517.01
100,5,517.01
