clock (5ms),ADC,Val_Res (MOhm)
0,9,287.17889
1,11,234.94455
2,11,234.94455
3,11,234.94455
4,11,234.94455
5,11,234.94455
6,10,258.45
7,10,258.45
8,10,258.45
9,9,287.17889
10,10,258.45
11,10,258.45
12,10,258.45
13,10,258.45
14,10,258.45
15,9,287.17889
16,11,234.94455
17,11,234.94455
18,11,234.94455
19,11,234.94455
20,11,234.94455
21,11,234.94455
22,11,234.94455
23,10,258.45
24,11,234.94455
25,11,234.94455
26,10,258.45
27,11,234.94455
28,10,258.45
29,10,258.45
30,10,258.45
31,9,287.17889
32,9,287.17889
33,8,323.09
34,7,369.26143
35,8,323.09
36,8,323.09
37,8,323.09
38,9,287.17889
39,9,287.17889
40,8,323.09
41,8,323.09
42,8,323.09
43,9,287.17889
44,8,323.09
45,8,323.09
46,8,323.09
47,8,323.09
48,8,323.09
49,9,287.17889
50,7,369.26143
51,9,287.17889
52,8,323.09
53,8,323.09
54,9,287.17889
55,8,323.09
56,8,323.09
57,9,287.17889
58,9,287.17889
59,7,369.26143
60,9,287.17889
61,8,323.09
62,8,323.09
63,9,287.17889
64,8,323.09
65,8,323.09
66,8,323.09
67,8,323.09
68,9,287.17889
69,8,323.09
70,9,287.17889
71,8,323.09
72,8,323.09
73,8,323.09
74,9,287.17889
75,8,323.09
76,9,287.17889
77,8,323.09
78,8,323.09
79,8,323.09
80,8,323.09
81,8,323.09
82,9,287.17889
83,8,323.09
84,8,323.09
85,9,287.17889
86,8,323.09
87,8,323.09
88,8,323.09
89,9,287.17889
90,9,287.17889
91,9,287.17889
92,8,323.09
