clock (5ms),ADC,Val_Res (MOhm)
1,10,258.45
2,12,215.35667
3,12,215.35667
4,12,215.35667
5,11,234.94455
6,12,215.35667
7,12,215.35667
8,11,234.94455
9,10,258.45
10,10,258.45
11,11,234.94455
12,12,215.35667
13,13,198.78231
14,12,215.35667
15,13,198.78231
16,12,215.35667
17,12,215.35667
18,12,215.35667
19,11,234.94455
20,10,258.45
21,12,215.35667
22,11,234.94455
23,10,258.45
24,11,234.94455
25,10,258.45
26,10,258.45
27,10,258.45
28,10,258.45
29,10,258.45
30,10,258.45
31,10,258.45
32,10,258.45
33,10,258.45
34,11,234.94455
35,10,258.45
36,10,258.45
37,11,234.94455
38,10,258.45
39,10,258.45
40,11,234.94455
41,10,258.45
42,10,258.45
43,12,215.35667
44,10,258.45
45,11,234.94455
46,10,258.45
47,10,258.45
48,10,258.45
49,9,287.17889
50,9,287.17889
51,9,287.17889
52,9,287.17889
53,10,258.45
54,10,258.45
55,10,258.45
56,9,287.17889
57,10,258.45
58,10,258.45
59,10,258.45
60,10,258.45
61,10,258.45
62,10,258.45
63,9,287.17889
64,10,258.45
65,10,258.45
66,10,258.45
67,10,258.45
68,10,258.45
69,10,258.45
70,10,258.45
71,10,258.45
72,10,258.45
73,10,258.45
74,10,258.45
75,10,258.45
76,10,258.45
77,10,258.45
78,10,258.45
79,9,287.17889
80,10,258.45
81,9,287.17889
82,9,287.17889
83,10,258.45
84,9,287.17889
85,9,287.17889
86,11,234.94455
87,10,258.45
88,10,258.45
89,9,287.17889
90,10,258.45
91,10,258.45
92,10,258.45
93,10,258.45
94,10,258.45
95,9,287.17889
96,10,258.45
97,10,258.45
98,9,287.17889
99,10,258.45
100,10,258.45
101,9,287.17889
102,10,258.45
103,10,258.45
104,10,258.45
105,10,258.45
106,10,258.45
107,11,234.94455
108,10,258.45
109,10,258.45
110,10,258.45
111,10,258.45
112,9,287.17889
113,10,258.45
114,10,258.45
115,10,258.45
116,10,258.45
117,10,258.45
118,10,258.45
119,11,234.94455
120,10,258.45

